"","from_account","to_account","from_party","to_party"
"425","konstantinnotz","filizgreen","DIE GRÜNEN","DIE GRÜNEN"
"426","konstantinnotz","ulle_schauws","DIE GRÜNEN","DIE GRÜNEN"
"427","konstantinnotz","cem_oezdemir","DIE GRÜNEN","DIE GRÜNEN"
"428","konstantinnotz","lisapaus","DIE GRÜNEN","DIE GRÜNEN"
"429","konstantinnotz","julia_verlinden","DIE GRÜNEN","DIE GRÜNEN"
"430","konstantinnotz","monikalazar","DIE GRÜNEN","DIE GRÜNEN"
"431","konstantinnotz","soerenbartol","DIE GRÜNEN","SPD"
"432","konstantinnotz","kahrs","DIE GRÜNEN","SPD"
"433","konstantinnotz","marcobuelow","DIE GRÜNEN","Parteilos"
"434","konstantinnotz","berlinliebich","DIE GRÜNEN","DIE LINKE"
"435","konstantinnotz","katdro","DIE GRÜNEN","DIE GRÜNEN"
"436","konstantinnotz","wanderwitz","DIE GRÜNEN","CDU"
"437","konstantinnotz","schneidercar","DIE GRÜNEN","SPD"
"438","konstantinnotz","sigmargabriel","DIE GRÜNEN","SPD"
"439","konstantinnotz","ekindeligoez","DIE GRÜNEN","DIE GRÜNEN"
"440","konstantinnotz","baerbelbas","DIE GRÜNEN","SPD"
"441","konstantinnotz","smuellermdb","DIE GRÜNEN","CSU"
"442","konstantinnotz","peteraltmaier","DIE GRÜNEN","CDU"
"443","konstantinnotz","tobiaslindner","DIE GRÜNEN","DIE GRÜNEN"
"444","konstantinnotz","ebner_sha","DIE GRÜNEN","DIE GRÜNEN"
"445","konstantinnotz","agnieszka_mdb","DIE GRÜNEN","DIE GRÜNEN"
"446","konstantinnotz","nouripour","DIE GRÜNEN","DIE GRÜNEN"
"447","konstantinnotz","petertauber","DIE GRÜNEN","CDU"
"448","konstantinnotz","c_lindner","DIE GRÜNEN","FDP"
"449","konstantinnotz","anked","DIE GRÜNEN","DIE LINKE"
"450","konstantinnotz","f_schaeffler","DIE GRÜNEN","FDP"
"451","konstantinnotz","tj_tweets","DIE GRÜNEN","CDU"
"452","konstantinnotz","svenlehmann","DIE GRÜNEN","DIE GRÜNEN"
"453","konstantinnotz","jimmyschulz","DIE GRÜNEN","FDP"
"454","konstantinnotz","johannesvogel","DIE GRÜNEN","FDP"
"455","konstantinnotz","larsklingbeil","DIE GRÜNEN","SPD"
"456","konstantinnotz","sven_kindler","DIE GRÜNEN","DIE GRÜNEN"
"457","konstantinnotz","fbrantner","DIE GRÜNEN","DIE GRÜNEN"
"458","konstantinnotz","katjadoerner","DIE GRÜNEN","DIE GRÜNEN"
"459","konstantinnotz","hubertus_heil","DIE GRÜNEN","SPD"
"460","carstentraeger","danielakolbe","SPD","SPD"
"461","carstentraeger","josip_juratovic","SPD","SPD"
"462","carstentraeger","fritzfelgentreu","SPD","SPD"
"463","carstentraeger","dieschmidt","SPD","SPD"
