"","twitter_name","party","personal.first_name","personal.last_name"
"402","ebner_sha","DIE GRÜNEN","Harald","Ebner"
"403","ekindeligoez","DIE GRÜNEN","Ekin","Deligöz"
"404","karambadiaby","SPD","Karamba","Diaby"
"405","dittmarsabine","SPD","Sabine","Dittmar"
"406",NA,"CSU","Alexander","Dobrindt"
"407","keesdevriescdu","CDU","Kees","de Vries"
"408",NA,"CDU","Thomas","de Maiziére"
"409","deridder_mdb","SPD","Daniela","De Ridder"
"410","larscastellucci","SPD","Lars","Castellucci"
"411",NA,"CDU","Gitta","Connemann"
"412","sevimdagdelen","DIE LINKE","Sevim","Dagdelen"
"413",NA,"SPD","Bernhard","Daldrup"
"414","marcobuelow","Parteilos","Marco","Bülow"
"415","burkertmartin","SPD","Martin","Burkert"
"416",NA,"CSU","Reinhard","Brandl"
"417","fbrantner","DIE GRÜNEN","Franziska","Brantner"
"418",NA,"CDU","Ralf","Brauksiepe"
"419","hbraun","CDU","Helge","Braun"
"420","heikebrehmermdb","CDU","Heike","Brehmer"
"421","rbrinkhaus","CDU","Ralph","Brinkhaus"
"422",NA,"CDU","Peter","Bleser"
"423",NA,"DIE LINKE","Heidrun","Bluhm"
"424",NA,"CDU","Norbert","Brackmann"
"425","lothar_binding","SPD","Lothar","Binding"
"426","steffenbilger","CDU","Steffen","Bilger"
"427","peterbeyercdu","CDU","Peter","Beyer"
"428",NA,"CDU","André","Berghegger"
"429","sybillebenning","CDU","Sybille","Benning"
"430",NA,"CDU","Veronika","Bellmann"
"431",NA,"CDU","Manfred","Behrens"
"432","maikbeermann","CDU","Maik","Beermann"
"433","dietmarbartsch","DIE LINKE","Dietmar","Bartsch"
"434","baerbelbas","SPD","Bärbel","Bas"
"435",NA,"SPD","Doris","Barnett"
"436",NA,"CDU","Norbert","Barthle"
"437",NA,"CDU","Thomas","Bareiß"
"438","katarinabarley","SPD","Katarina","Barley"
"439","dorobaer","CSU","Dorothee","Bär"
"440","kerstinandreae","DIE GRÜNEN","Kerstin","Andreae"
"441","nielsannen","SPD","Niels","Annen"
"442",NA,"SPD","Ingrid","Arndt-Brauer"
"443",NA,"SPD","Heike","Baehrens"
"444","abaerbock","DIE GRÜNEN","Annalena","Baerbock"
"445",NA,"CDU","Stephan","Albani"
"446","cpetrymdb","SPD","Christian","Petry"
"447","w_sk","DIE GRÜNEN","Wolfgang","Strengmann-Kuhn"
"448","ronjakemmer","CDU","Ronja","Kemmer"
"449","a_gloeckner","SPD","Angelika","Glöckner"
"450","muellerchemnitz","SPD","Detlef","Müller"
"451","alice_weidel","AfD","Alice","Weidel"
"452","b_riexinger","DIE LINKE","Bernd","Riexinger"
"453",NA,"FDP","Alexander","Kulitz"
"454","goekayakbulut","DIE LINKE","Gökay","Akbulut"
"455",NA,"CDU","Alexander","Throm"
"456","jbrandenburgfdp","FDP","Jens","Brandenburg"
"457",NA,"DIE LINKE","Jessica","Tatti"
"458","marcbernhardafd","AfD","Marc","Bernhard"
"459","frohnmaier_afd","AfD","Markus","Frohnmaier"
"460",NA,"CDU","Felix","Schreiner"
"461",NA,"DIE LINKE","Michel","Brandt"
"462","bstrasser","FDP","Benjamin","Strasser"
"463","th_seitz_afd","AfD","Thomas","Seitz"
"464","nilsschmid","SPD","Nils","Schmid"
"465",NA,"DIE LINKE","Brigitte","Freihold"
"466","weesersandra","FDP","Sandra","Weeser"
"467","lieblingxhain","DIE GRÜNEN","Canan","Bayram"
"468",NA,"DIE LINKE","Helin Evrim","Sommer"
"469","stefangelbhaar","DIE GRÜNEN","Stefan","Gelbhaar"
"470","pascalmeiser","DIE LINKE","Pascal","Meiser"
"471","awidmannmauz","CDU","Annette","Widmann-Mauz"
"472",NA,"FDP","Bijan","Djir-Sarai"
"473",NA,"FDP","Christine","Aschenberg-Dugnus"
"474",NA,"FDP","Florian","Toncar"
"475","solms","FDP","Hermann Otto","Solms"
"476",NA,"DIE GRÜNEN","Erhard","Grundl"
"477","f_schaeffler","FDP","Frank","Schäffler"
"478","hartmutebbing","FDP","Hartmut","Ebbing"
"479",NA,"CDU","Jens","Lehmann"
"480","marcobuschmann","FDP","Marco","Buschmann"
"481",NA,"AfD","Martin","Hohmann"
"482",NA,"FDP","Michael","Link"
"483","mgrossebroemer","CDU","Michael","Grosse-Brömer"
"484","otto_fricke","FDP","Otto","Fricke"
"485",NA,"FDP","Pascal","Kober"
