"","mp_names","mp_parties","mp_url","mp_url_full","interventions","interventions_com"
"130","Marilène Gill","Bloc Québécois","/Members/en/marilene-gill(88538)","https://www.ourcommons.ca/Members/en/marilene-gill(88538)","126 in the current session","306 in the current session"
"131","Marilyn Gladu","Conservative","/Members/en/marilyn-gladu(88938)","https://www.ourcommons.ca/Members/en/marilyn-gladu(88938)","136 in the current session","299 in the current session"
"132","Joël Godin","Conservative","/Members/en/joel-godin(89407)","https://www.ourcommons.ca/Members/en/joel-godin(89407)","63 in the current session","381 in the current session"
"133","Laila Goodridge","Conservative","/Members/en/laila-goodridge(110918)","https://www.ourcommons.ca/Members/en/laila-goodridge(110918)","119 in the current session","256 in the current session"
"134","Karina Gould","Liberal","/Members/en/karina-gould(88715)","https://www.ourcommons.ca/Members/en/karina-gould(88715)","198 in the current session","58 in the current session"
"135","Jacques Gourde","Conservative","/Members/en/jacques-gourde(35397)","https://www.ourcommons.ca/Members/en/jacques-gourde(35397)","57 in the current session","142 in the current session"
"136","Tracy Gray","Conservative","/Members/en/tracy-gray(105802)","https://www.ourcommons.ca/Members/en/tracy-gray(105802)","179 in the current session","291 in the current session"
"137","Matthew Green","NDP","/Members/en/matthew-green(93023)","https://www.ourcommons.ca/Members/en/matthew-green(93023)","114 in the current session","1241 in the current session"
"138","Steven Guilbeault","Liberal","/Members/en/steven-guilbeault(14171)","https://www.ourcommons.ca/Members/en/steven-guilbeault(14171)","190 in the current session","174 in the current session"
"139","Patty Hajdu","Liberal","/Members/en/patty-hajdu(88984)","https://www.ourcommons.ca/Members/en/patty-hajdu(88984)","37 in the current session","93 in the current session"
"140","Jasraj Singh Hallan","Conservative","/Members/en/jasraj-singh-hallan(105630)","https://www.ourcommons.ca/Members/en/jasraj-singh-hallan(105630)","155 in the current session","216 in the current session"
"141","Brendan Hanley","Liberal","/Members/en/brendan-hanley(111109)","https://www.ourcommons.ca/Members/en/brendan-hanley(111109)","47 in the current session","169 in the current session"
"142","Ken Hardie","Liberal","/Members/en/ken-hardie(89274)","https://www.ourcommons.ca/Members/en/ken-hardie(89274)","87 in the current session","440 in the current session"
"143","Lisa Hepfner","Liberal","/Members/en/lisa-hepfner(110446)","https://www.ourcommons.ca/Members/en/lisa-hepfner(110446)","32 in the current session","269 in the current session"
"144","Randy Hoback","Conservative","/Members/en/randy-hoback(59148)","https://www.ourcommons.ca/Members/en/randy-hoback(59148)","73 in the current session","186 in the current session"
"145","Mark Holland","Liberal","/Members/en/mark-holland(25508)","https://www.ourcommons.ca/Members/en/mark-holland(25508)","297 in the current session","31 in the current session"
"146","Anthony Housefather","Liberal","/Members/en/anthony-housefather(88558)","https://www.ourcommons.ca/Members/en/anthony-housefather(88558)","68 in the current session","487 in the current session"
"147","Carol Hughes","NDP","/Members/en/carol-hughes(31289)","https://www.ourcommons.ca/Members/en/carol-hughes(31289)","2122 in the current session","4 in the current session"
"148","Ahmed Hussen","Liberal","/Members/en/ahmed-hussen(89020)","https://www.ourcommons.ca/Members/en/ahmed-hussen(89020)","144 in the current session","127 in the current session"
"149","Gudie Hutchings","Liberal","/Members/en/gudie-hutchings(88292)","https://www.ourcommons.ca/Members/en/gudie-hutchings(88292)","20 in the current session","7 in the current session"
"150","Angelo Iacono","Liberal","/Members/en/angelo-iacono(71337)","https://www.ourcommons.ca/Members/en/angelo-iacono(71337)","40 in the current session","243 in the current session"
"151","Lori Idlout","NDP","/Members/en/lori-idlout(111116)","https://www.ourcommons.ca/Members/en/lori-idlout(111116)","241 in the current session","322 in the current session"
